3 0.38
13.43 0.34 0.38
6 0.31
174.78 0.14 0.31
16.52 0.36 0.38
14.59 0.37 0.39
13.71 0.36 0.38
15.00 0.35 0.38
12.92 0.33 0.38
13.43 0.34 0.38
6 0.31
174.78 0.14 0.31
16.52 0.36 0.38
14.59 0.37 0.39
13.71 0.36 0.38
15.00 0.35 0.38
12.92 0.33 0.38
13.43 0.34 0.38
44
Found sensor
14.29 0.33 0.38
15.00 0.33 0.38
15.00 0.33 0.38
15.00 0.32 0.37
15.25 0.31 0.37
15.74 0.32 0.37
14.29 0.33 0.38
15.25 0.31 0.37
16.27 0.31 0.37
14.74 0.30 0.37
17.14 0.26 0.37
17.14 0.23 0.36
18.18 0.18 0.35
20.77 0.15 0.35
38.18 0.06 0.34
94.29 0.04 0.34
80.00 0.04 0.33
94.29 0.04 0.34
33.75 0.09 0.34
23.08 0.15 0.35
90.00 0.04 0.33
168.00 0.16 0.32
77.14 0.04 0.33
80.00 0.04 0.33
90.00 0.04 0.33
102.86 0.04 0.34
94.29 0.04 0.34
80.00 0.04 0.33
60.00 0.04 0.33
80.00 0.04 0.33
135.00 0.05 0.33
158.57 0.08 0.33
160.00 0.11 0.32
160.00 0.09 0.32
35.00 0.07 0.34
21.60 0.14 0.35
14.12 0.27 0.37
14.06 0.33 0.38
13.43 0.34 0.38
15.25 0.31 0.37
17.65 0.19 0.35
28.00 0.09 0.34
156.00 0.09 0.32
160.00 0.09 0.32
38.18 0.06 0.34
14.67 0.24 0.37
16.36 0.29 0.37
14.77 0.34 0.38
15.48 0.32 0.38
13.55 0.32 0.38
14.44 0.28 0.37
14.18 0.29 0.37
15.79 0.30 0.37
15.52 0.31 0.37
14.75 0.32 0.37
15.25 0.31 0.37
16.67 0.20 0.36
18.75 0.18 0.35
17.56 0.22 0.36
16.74 0.23 0.36
16.96 0.25 0.36
16.96 0.25 0.36
18.18 0.18 0.35
22.50 0.14 0.35
20.00 0.18 0.35
16.74 0.23 0.36
15.00 0.28 0.37
15.29 0.27 0.37
15.29 0.27 0.37
16.74 0.23 0.36
16.10 0.22 0.36
16.74 0.23 0.36
16.47 0.27 0.37
16.47 0.27 0.37
16.96 0.25 0.36
17.14 0.23 0.36
18.46 0.21 0.36
15.79 0.21 0.36
18.00 0.22 0.36
17.14 0.23 0.36
16.74 0.23 0.36
16.96 0.25 0.36
16.74 0.23 0.36
17.84 0.19 0.37
16.92 0.21 0.36
16.74 0.23 0.36
16.36 0.24 0.36
16.07 0.30 0.37
16.36 0.24 0.36
15.00 0.24 0.36
15.25 0.31 0.37
17.14 0.26 0.37
20.00 0.18 0.35
42.00 0.06 0.33
42.00 0.06 0.33
52.50 0.05 0.33
60.00 0.04 0.33
100.00 0.04 0.33
128.57 0.04 0.34
128.57 0.04 0.34
135.00 0.05 0.33
142.50 0.05 0.33
108.00 0.03 0.34
100.00 0.04 0.33
108.00 0.03 0.34
110.00 0.03 0.34
128.57 0.04 0.34
30.00 0.09 0.34
16.92 0.21 0.36
16.74 0.23 0.36
16.74 0.23 0.36
17.73 0.24 0.36
16.92 0.21 0.36
20.69 0.16 0.35
18.33 0.20 0.36
16.50 0.22 0.36
16.25 0.26 0.36
18.18 0.18 0.35
18.62 0.16 0.35
15.32 0.25 0.37
15.74 0.32 0.37
15.48 0.32 0.38
14.74 0.30 0.37
15.79 0.21 0.36
20.69 0.16 0.35
20.77 0.15 0.35
20.00 0.15 0.35
16.92 0.21 0.36
14.40 0.27 0.37
14.44 0.28 0.37
15.00 0.26 0.37
18.86 0.19 0.35
18.62 0.16 0.35
27.00 0.11 0.34
19.29 0.16 0.35
18.86 0.19 0.35
17.14 0.26 0.37
17.73 0.24 0.36
16.60 0.25 0.36
14.55 0.34 0.38
15.00 0.35 0.38
13.24 0.35 0.38
13.85 0.33 0.38
15.00 0.26 0.37
18.00 0.17 0.35
38.18 0.06 0.34
24.55 0.12 0.35
16.25 0.26 0.36
14.69 0.26 0.37
14.67 0.24 0.37
18.62 0.16 0.35
21.60 0.14 0.35
28.24 0.10 0.34
30.00 0.09 0.34
45.00 0.05 0.33
38.18 0.06 0.34
34.29 0.08 0.34
156.92 0.08 0.33
156.92 0.08 0.33
158.18 0.07 0.33
60.00 0.04 0.33
26.67 0.10 0.34
22.86 0.12 0.34
20.00 0.18 0.35
14.69 0.26 0.37
16.36 0.18 0.35
