5 0.40
6.59 0.44 0.40
5.68 0.46 0.41
6.45 0.45 0.41
6.38 0.46 0.40
7.17 0.45 0.40
7.42 0.43 0.40
44
Found sensor
3.87 0.45 0.40
3.75 0.46 0.41
2.83 0.50 0.42
2.65 0.53 0.42
5.19 0.41 0.39
5.53 0.39 0.38
5.45 0.44 0.40
3.21 0.52 0.42
3.87 0.45 0.41
4.72 0.43 0.40
4.09 0.43 0.40
3.79 0.46 0.41
2.16 0.52 0.42
3.60 0.48 0.41
4.88 0.43 0.39
5.83 0.37 0.38
2.75 0.51 0.42
2.05 0.54 0.43
2.18 0.51 0.42
3.75 0.46 0.41
3.00 0.48 0.41
2.07 0.54 0.42
2.54 0.54 0.43
2.88 0.50 0.41
3.96 0.45 0.40
7.40 0.37 0.38
8.68 0.39 0.38
9.47 0.39 0.38
9.23 0.40 0.38
8.35 0.40 0.39
9.35 0.39 0.38
9.35 0.39 0.38
9.23 0.40 0.38
8.76 0.44 0.39
8.30 0.46 0.40
7.74 0.45 0.40
7.74 0.45 0.40
8.57 0.44 0.40
8.48 0.45 0.40
7.91 0.45 0.40
9.35 0.39 0.38
11.14 0.36 0.38
12.20 0.31 0.37
9.60 0.38 0.38
7.17 0.45 0.40
8.39 0.45 0.40
8.39 0.45 0.40
8.48 0.45 0.40
9.77 0.43 0.39
9.63 0.41 0.39
7.02 0.46 0.40
3.19 0.53 0.42
2.00 0.55 0.43
0.97 0.56 0.43
0.45 0.59 0.44
0.47 0.57 0.43
1.68 0.51 0.41
1.44 0.57 0.43
1.42 0.57 0.43
0.97 0.56 0.43
1.65 0.51 0.42
2.07 0.54 0.42
2.07 0.54 0.42
5.00 0.37 0.38
3.41 0.44 0.40
1.62 0.52 0.42
1.03 0.54 0.42
1.75 0.49 0.41
0.99 0.55 0.43
0.47 0.57 0.43
0.98 0.56 0.43
0.00 0.59 0.44
0.46 0.59 0.44
0.00 0.57 0.43
0.00 0.57 0.43
0.00 0.58 0.43
0.00 0.58 0.43
0.00 0.58 0.43
0.45 0.60 0.44
2.05 0.54 0.43
2.61 0.53 0.42
2.61 0.53 0.42
5.19 0.41 0.39
6.58 0.37 0.38
7.27 0.34 0.38
3.33 0.51 0.42
2.83 0.50 0.42
2.91 0.49 0.41
6.38 0.46 0.40
7.25 0.44 0.40
7.74 0.45 0.40
9.51 0.41 0.39
11.14 0.36 0.38
10.68 0.38 0.38
7.74 0.45 0.40
8.48 0.45 0.40
8.09 0.43 0.40
8.21 0.46 0.40
5.68 0.46 0.41
5.00 0.46 0.41
4.80 0.48 0.41
4.71 0.49 0.41
7.10 0.46 0.40
7.59 0.43 0.39
7.59 0.43 0.39
7.02 0.46 0.40
6.00 0.48 0.41
4.66 0.49 0.41
4.29 0.48 0.40
4.66 0.49 0.41
5.05 0.46 0.40
3.82 0.52 0.42
3.93 0.51 0.41
4.75 0.48 0.41
3.10 0.54 0.42
3.19 0.53 0.42
4.49 0.51 0.41
4.62 0.50 0.41
4.32 0.52 0.42
3.96 0.50 0.42
3.50 0.49 0.41
4.80 0.48 0.41
