8 0.33
56.00 0.09 0.32
56.47 0.10 0.32
64.00 0.09 0.32
63.53 0.10 0.32
08 0.33
78.46 0.08 0.33
78.46 0.08 0.32
78.46 0.08 0.33
56.00 0.09 0.32
56.47 0.10 0.32
64.00 0.09 0.32
63.53 0.10 0.32
44
Found sensor
63.53 0.10 0.32
63.53 0.10 0.32
63.53 0.10 0.32
63.53 0.10 0.32
64.00 0.09 0.32
68.57 0.08 0.33
68.57 0.08 0.33
78.46 0.08 0.33
83.08 0.08 0.33
85.00 0.07 0.33
78.46 0.08 0.33
77.14 0.08 0.33
76.00 0.09 0.33
76.67 0.11 0.33
75.00 0.10 0.33
72.86 0.08 0.33
78.46 0.08 0.33
78.46 0.08 0.33
78.46 0.08 0.33
72.86 0.08 0.33
73.33 0.11 0.33
69.47 0.12 0.32
60.00 0.12 0.32
54.55 0.13 0.32
51.11 0.16 0.32
48.39 0.19 0.32
46.00 0.18 0.33
40.71 0.17 0.33
42.22 0.16 0.33
40.00 0.16 0.33
41.38 0.17 0.33
46.88 0.19 0.33
46.88 0.19 0.33
41.38 0.17 0.33
40.71 0.17 0.33
39.23 0.15 0.33
41.54 0.15 0.33
45.00 0.17 0.33
46.00 0.18 0.33
57.27 0.13 0.32
69.47 0.12 0.32
67.06 0.10 0.32
64.00 0.09 0.32
68.57 0.08 0.33
72.86 0.08 0.33
68.57 0.08 0.33
68.00 0.09 0.32
67.06 0.10 0.32
66.00 0.12 0.32
